,longitude,latitude,name,category
0,4.8228613,45.7410037003808,Espace Santé Confluence,doctors
1,4.8736576,45.7554965003787,,dentist
2,4.8761663,45.7567563003785,Cabinet d'infirmier des Maisons Neuves,clinic
3,4.8760065,45.7332707003818,Physio Mermoz,doctors
4,4.8740606,45.7328700003819,Centre Médico-Psychologique Maryse Bastié,doctors
5,4.8743369,45.7329328003819,Renaud Zimmermann,doctors
6,4.8736516,45.7332857003818,Pascal Bouteldja,doctors
7,4.8838359,45.7327287003819,Laurent Chapuis,doctors
8,4.8528767,45.7367903003813,,pharmacy
9,4.8532122,45.7345038003817,Laboratoire Protheses Dentaires V.Ceccarelli,dentist
10,4.8527435,45.7371049003813,Cabinet infirmier G.Dubois/M.Radovic,clinic
11,4.8538358,45.7341922003817,Cabinet Infirmier,clinic
12,4.8073502,45.7785464003754,Pharmacie de la gare d'eau,pharmacy
13,4.8435577,45.7477004003798,Pharmacie Jean Macé,pharmacy
14,4.8080562,45.7858503003744,Pharmacie du 9e,pharmacy
15,4.8448324,45.7505966003794,Pharmacie Saint-Louis,pharmacy
16,4.791798,45.7657986003772,Pharmacie des Deux Amants,pharmacy
17,4.827309,45.7794528003753,Pharmacie des Canuts,pharmacy
18,4.7964549,45.7566175003786,Pharmacie du Point du Jour,pharmacy
19,4.8298511,45.7982183003726,Pharmacie de l'Île Barbe,pharmacy
20,4.8509651,45.7569609003785,Cabinet Infirmier Lyonnais,doctors
21,4.8541071,45.7488652003796,Clinique dentaire et d'orthodontie mutualiste,hospital
22,4.8349223,45.7777429003756,Pharmacie de la Place Bertone,pharmacy
23,4.858889,45.753720100379,Pharmacie de LYON,pharmacy
24,4.8293313,45.753514300379,Pharmacie Khalatbari,pharmacy
25,4.8294666,45.774876600376,Pharmacie du Marché,pharmacy
26,4.8321327,45.7753724003759,Pharmacie Lafayette de la Place,pharmacy
27,4.8315339,45.774734700376,Pharmacie de la croix rousse,pharmacy
28,4.8329484,45.7644460003775,Boticinal Grande Pharmacie de Lyon Saint-Nizier,pharmacy
29,4.8300126,45.7689154003768,Pharmacie Cueilleron,pharmacy
30,4.8282739,45.7662567003772,Grande Pharmacie Saint-Paul,pharmacy
31,4.8281538,45.7683178003769,Pharmacie Saint-Vincent,pharmacy
32,4.7922134,45.7588492003782,Pharmacie des Aqueducs,pharmacy
33,4.8332116,45.7768234003757,Pharmacie du Mail,pharmacy
