,longitude,latitude,name,category
0,4.8089982,45.7655920003773,Fort de Loyasse,fort
1,4.8280111,45.7511560003793,Stèle Verdun,memorial
2,4.8238059,45.7552081003788,René-Maria Burlet,memorial
3,4.824793,45.7574032003784,Victoria Nicollet,memorial
4,4.8272102,45.7597263003781,,name
5,4.8272183,45.7597107003781,,name
6,4.8246226,45.7563820003786,Gabriel Chevallier,memorial
7,4.8232983,45.7512852003793,Kitchener-Marchand,memorial
8,4.823315,45.7513035003793,Pont,memorial
9,4.8324094,45.7811814003751,15 juin 1944,memorial
10,4.8343761,45.7808898003751,Claude Linossier,memorial
11,4.8343295,45.7794278003753,Louis Seurre,memorial
12,4.862744,45.7571954003785,,memorial
13,4.8234477,45.7538958003789,Patrick Fillon,memorial
14,4.8355639,45.7735395003762,,wayside_shrine
15,4.8123095,45.7751653003759,Chapelle Sainte Monique,memorial
16,4.833129,45.7771430003757,,wayside_shrine
17,4.8358887,45.7767726003757,,wayside_shrine
18,4.826922,45.7588290003782,,wayside_shrine
19,4.825475,45.7593830003782,,wayside_shrine
20,4.825404,45.7593990003782,,wayside_shrine
21,4.825622,45.7597210003781,,wayside_shrine
22,4.830385,45.7691356003768,Au Sergent Blandan,memorial
23,4.827633,45.7625810003777,,wayside_shrine
24,4.827987,45.7633830003776,,wayside_shrine
25,4.828228,45.7638590003775,,wayside_shrine
26,4.827713,45.7639690003775,,wayside_shrine
27,4.827417,45.7646280003774,,wayside_shrine
28,4.827962,45.7650530003774,,wayside_shrine
29,4.828635,45.7661460003772,,wayside_shrine
30,4.8269018,45.7639857003775,,fountain
31,4.8265444,45.7610157003779,Fontaine Saint-Jean de Lyon,fountain
32,4.8328904,45.753491400379,,memorial
33,4.8335038,45.753279400379,,fountain
34,4.8288284,45.753145800379,Statue de Monsieur Ampère,memorial
35,4.8481355,45.7598158003781,Le Buisson Ardent,fountain
36,4.8085823,45.7727806003763,,memorial
37,4.8629107,45.753315100379,,fountain
38,4.8628463,45.753309500379,,fountain
39,4.8628838,45.753277600379,,fountain
40,4.8628436,45.753416100379,,fountain
41,4.8628409,45.753371200379,,fountain
